visitor_id,name,host_badge_id,host_name,facility_id,entry_time,exit_time,flagged_unescorted_restricted_access
VIS-0001,Alex Mehta,BADGE-0045,Divya Das,1,2025-12-10 10:20:00,2025-12-10 12:39:00,True
VIS-0002,Alex Costa,BADGE-0066,Harsh Gosavi,1,2025-12-12 14:02:00,2025-12-12 14:40:00,False
VIS-0003,Riley Fernandes,BADGE-0008,Pooja Nair,1,2025-12-04 13:03:00,2025-12-04 14:47:00,False
VIS-0004,Morgan Fernandes,BADGE-0042,Arjun Gosavi,1,2025-12-01 07:00:00,2025-12-01 08:07:00,False
VIS-0005,Jamie Mehta,BADGE-0083,Ryan Patel,1,2025-12-04 08:40:00,2025-12-04 10:12:00,False
VIS-0006,Sam Fernandes,BADGE-0065,Anita Menon,1,2025-12-05 11:20:00,2025-12-05 13:36:00,False
VIS-0007,Morgan Fernandes,BADGE-0080,Vikram Sharma,1,2025-12-19 11:24:00,2025-12-19 12:09:00,False
VIS-0008,Jamie Costa,BADGE-0036,Meera Khurana,1,2025-12-11 10:49:00,2025-12-11 13:02:00,False
VIS-0009,Morgan Pinto,BADGE-0086,Suresh Chatterjee,1,2025-12-04 09:34:00,2025-12-04 10:19:00,False
VIS-0010,Taylor Pinto,BADGE-0036,Meera Khurana,1,2025-12-23 12:33:00,2025-12-23 14:32:00,False
VIS-0011,Alex Shah,BADGE-0076,Satha Chatterjee,1,2025-12-05 13:12:00,2025-12-05 15:41:00,False
VIS-0012,Riley Mehta,BADGE-0006,Neha Reddy,1,2025-12-17 12:52:00,2025-12-17 14:20:00,False
VIS-0013,Alex Mehta,BADGE-0086,Suresh Chatterjee,1,2025-12-08 15:53:00,2025-12-08 17:57:00,False
VIS-0014,Morgan Rao,BADGE-0016,Vikram Gosavi,1,2025-12-16 10:43:00,2025-12-16 13:13:00,False
VIS-0015,Jordan Shah,BADGE-0008,Pooja Nair,1,2025-12-19 09:00:00,2025-12-19 09:41:00,False
VIS-0016,Jamie Pinto,BADGE-0066,Harsh Gosavi,1,2025-12-25 10:08:00,2025-12-25 11:18:00,False
VIS-0017,Sam Costa,BADGE-0078,Anita Khurana,1,2025-12-15 11:25:00,2025-12-15 13:05:00,False
VIS-0018,Alex Rao,BADGE-0038,Cathy Singh,1,2025-12-02 08:40:00,2025-12-02 09:45:00,False
VIS-0019,Alex Almeida,BADGE-0044,Suresh Menon,1,2025-12-01 07:56:00,2025-12-01 10:08:00,False
VIS-0020,Chris Pinto,BADGE-0046,Suresh Patel,1,2025-12-04 10:34:00,2025-12-04 11:12:00,False
